Mat, Size, Cbef, Caft, Reduce
YearPredictionMSD,90,5233000.00,470.20,0.999910
    YearPredictionMSD.t,90,5521000.00,359900.00,0.934816
    abalone\_scale.txt,8,2419.00,2038.00,0.157291
    bodyfat\_scale.txt,14,1281.00,669.10,0.477475
    cadata.txt,8,8982000.00,7632.00,0.999150
    cpusmall\_scale.txt,12,20000.00,6325.00,0.683813
    eunite2001.t,16,52450000.00,8530.00,0.999837
    eunite2001.txt,16,67300000.00,3591.00,0.999947
    housing\_scale.txt,13,153.90,83.22,0.459371
    mg\_scale.txt,6,10.67,10.03,0.059988
    mpg\_scale.txt,7,142.50,107.20,0.247842
    pyrim\_scale.txt,27,49100000.00,3307.00,0.999933
    space\_ga\_scale.txt,6,1061.00,729.60,0.312041
    triazines\_scale.txt,60,24580000.00,15460000.00,0.371034