    Mat, Cbef, Caft, Cruiz, Rdc,Better,Better 2
ash85,2.151E+05,85960.000,215100.000,0.600319,2.502,2.502
bcspwr01,2.756E+03,1268.000,2756.000,0.539942,2.174,2.174
bcsstk02,1.871E+07,2634000.000,3284000.000,0.859207,7.103,1.247
bcsstm02,7.66E+01,1.000,1.000,0.986945,76.6,1.000
can_24,6.046E+03,3329.000,6046.000,0.449461,1.816,1.816
can_62,3.646E+05,137100.000,364600.000,0.624077,2.659,2.659
can_73,1.27E+03,836.300,1270.000,0.341394,1.51859380605046,1.519
can_96,2.104E+04,16020.000,21040.000,0.238647,1.313,1.313
dwt_59,1.395E+04,6595.000,13950.000,0.527201,2.115,2.115
dwt_66,2.234E+04,11710.000,22340.000,0.475913,1.908,1.908
dwt_87,1.024E+04,5506.000,10240.000,0.462443,1.860,1.860
ibm32,1.633E+05,47620.000,163300.000,0.708381,3.429,3.429
nos4,2.492E+06,971500.000,990300.000,0.610091,2.565,1.019
west0067,1.696E+04,2716.000,11630.000,0.839843,6.244,4.282
bfwa62,3.059E+05,38680.000,44500.000,0.873542,7.908,1.150
bfwb62,2.958E+02,23.070,23.620,0.922010,12.822,1.024
b1_ss,3.896E+04,9.353,115.000,0.999760,4165.508,12.296
mesh1e1,2.756E+01,14.320,17.270,0.480193,1.925,1.206
mesh1em1,3.609E+02,130.000,134.600,0.639854,2.776,1.035
mesh1em6,3.731E+01,23.220,23.940,0.377637,1.607,1.031
cage3,3.552E+02,86.280,150.300,0.757053,4.117,1.742
cage4,3.749E+02,69.170,96.440,0.815512,5.420,1.394
cage5,2.377E+02,31.790,66.640,0.866242,7.477,2.096
cage6,1.305E+02,21.990,32.650,0.831528,5.935,1.485
    Cities,4.291E+04,5647.000,32020.000,0.868394,7.599,5.670
    divorce,3.76E+02,1.749,376.000,0.995349,214.979988564894,214.980
GD95_c,2.651E+03,684.700,2651.000,0.741688,3.872,3.872
Stranke94,2.676E+03,1993.000,2499.000,0.255379,1.343,1.254
    Tina_AskCog,3.914E+02,165.500,391.400,0.577112,2.365,2.365
CAG_mat72,7.72E+07,1098000.000,9330000.000,0.985779,70.3096539162113,8.497
Trefethen_20b,9.212E+02,6.245,6.665,0.993221,147.510,1.067
Trefethen_20,3.98E+03,17.110,19.040,0.995700,232.612507305669,1.113
mycielskian2,1E+00,1.000,1.000,0.000000,1,1.000
mycielskian4,9.391E+01,42.200,93.910,0.550610,2.225,2.225
mycielskian5,7.641E+02,161.800,764.100,0.788202,4.722,4.722
mycielskian6,5.863E+03,424.000,5863.000,0.927676,13.828,13.828
mycielskian7,4.337E+04,4753.000,43370.000,0.890389,9.125,9.125
ash219,9.15E+00,3.124,9.150,0.658522,2.92893725992318,2.929
    WorldCities,4.356E+03,197.900,3283.000,0.954574,22.011,16.589
ash331,9.588E+00,2.954,9.588,0.691895,3.246,3.246
ash608,1.138E+01,3.012,11.380,0.735293,3.778,3.778
ash958,1.025E+01,4.811,10.250,0.530549,2.131,2.131
bcspwr03,2.514E+05,79480.000,251400.000,0.683878,3.163,3.163
bcsstm05,1.612E+02,1.000,1.000,0.993798,161.200,1.000